CD_SETOR,vol
312510105000079,207
312510105000088,828
312510105000098,69
312510105000110,1863
312510105000118,414
312510110000005,690
312610905000074,69
312650505000017,138
312710705000082,483
312770105000070,69
312770105000083,69
312770105000214,345
312770105000303,69
312770105000405,138
312770105000442,69
312770105000465,69
312980605000061,69
312980605000160,69
312980610000032,138
312980610000059,69
312980610000060,69
313010105000110,69
313020005000002,138
313060605000011,138
313060605000012,69
313060605000025,69
313130705000032,138
313130705000164,69
313130705000165,69
313130705000186,69
313130705000334,69
313130710000167,207
313130710000169,69
313130710000225,69
313130710000230,69
313240405000005,69
313240405060062,69
313310505000012,69
313380805000024,69
313380805000099,69
313380805000100,69
313380805000151,138
313380805000189,69
313380805000251,69
313380805000255,138
313490505000012,138
313490505000021,69
313490505000034,207
313490505000042,69
313490505000044,345
313490505000045,69
313490505000051,69
313490505000052,69
313490505000055,69
313490505000063,138
313665205000001,69
313665205000020,69
313670205060020,69
313670205060026,69
313670205060089,276
313670205060114,276
313670205060135,138
313670205060231,483
313670205060261,69
313670205070014,69
313670205070068,138
313670205080049,1242
313670205090007,69
313670205090018,69
313670205170003,138
313670205170152,69
313670205170164,69
313670205170214,207
313670205180079,69
313670205210038,69
313720505000001,138
313720505000010,138
313720505000019,345
313720505000034,138
313720505000057,69
313720505000065,345
313720505000066,69
313760105000103,69
313760105000125,69
313760105000227,69
313760105000282,69
313780905000062,69
313820305000001,69
313820305000112,69
313980505000001,276
313980505000002,966
313980505000003,69
313980505000005,345
313980505000009,483
313980505000010,552
313980505000011,1932
313980505000012,138
313980505000019,828
313980505000020,138
314070420000015,69
314110810000005,69
314240305000005,138
314240305000020,69
314260105000007,138
314310405000006,69
314330205000001,138
314330205000002,69
314330205000005,69
314330205000083,69
314330205000146,138
314330205000175,69
314330205000216,69
314330205000223,69
314330205000416,138
314330205000541,138
314330205000562,69
314330205000583,69
314330205000770,69
314330205000850,69
314330205000948,483
314340105000007,69
314340105000031,138
314340105000041,138
314340105000042,69
314340105000046,69
314340105000050,69
314340105000061,138
314340105000071,69
314340105000082,69
314340105000099,69
314390605000003,69
314390605000026,138
314390605000055,69
314390605000070,138
314390605000109,138
314390605000151,69
314390605000168,69
314390605000196,69
314390605000199,69
314390640000002,138
314460705000001,345
314460705000012,138
314460705000043,69
314480505000220,69
314480505000328,69
314520805000001,138
314520805000002,276
314520805000003,138
314520805000004,207
314520805000008,69
314520805000009,414
314520805000011,138
314520805000013,69
314520805000014,138
314520805000016,276
314520805000018,414
314520805000019,138
314520805000021,621
314520805000023,1794
314520805000024,1104
314520805000025,69
314520805000026,345
314520805000030,69
314520805000031,138
314520805000032,69
314520805000035,69
314520805000036,276
314520805000038,69
314520805000039,69
314520805000040,207
314520805000041,207
314520805000042,69
314520805000043,69
314520805000047,69
314520805000052,69
314520805000054,345
314520805000055,69
314520805000056,138
314520805000057,276
314520805000058,483
314520805000060,69
314520805000062,69
314520805000063,414
314520805000066,138
314520805000068,138
314520805000069,138
314520805000070,207
314520805000071,207
314520805000074,207
314520805000075,207
314520805000077,69
314520805000078,138
314520805000080,69
314520805000081,69
314520805000089,414
314520805000090,138
314520805000091,69
314520805000092,69
314520805000094,345
314520805000096,69
314520805000098,69
314520805000100,276
314520805000101,138
314520805000102,69
314520805000103,69
314520805000104,207
314520805000105,276
314520805000110,138
314520805000111,621
314520805000112,207
314520805000113,207
314520805000121,69
314520805000134,69
314520805000136,138
314520805000137,207
314520805000138,138
314520805000140,69
314520805000142,345
314520805000146,69
314520805000148,69
314520805000149,138
314520805000151,345
314520805000152,276
314520805000156,69
314520805000157,69
314520805000158,69
314520805000159,276
314520805000160,69
314520805000162,138
314520805000163,828
314520805000165,69
314520805000168,69
314520805000169,276
314520805000170,1794
314520805000171,2139
314520805000172,69
314520805000174,345
314520805000175,138
314520805000176,69
314520805000177,207
314520805000179,69
314520805000182,138
314520805000183,69
314520805000186,207
314520805000187,138
314520805000191,276
314520805000192,138
314520805000197,276
314520805000198,69
314520805000199,207
314520805000201,69
314520805000202,138
314520805000204,207
314520805000207,69
314520805000208,138
314520805000210,207
314520805000213,69
314520805000216,69
314520805000217,276
314520805000218,138
314520805000219,138
314520805000227,552
314520805000234,276
314520810000001,138
314520810000006,69
314590105000068,69
314590105000080,69
314600805000071,69
314600805000075,138
314710505000011,69
314710505000141,69
314710505000157,69
314710505000218,69
314710525000001,69
314720405000012,138
314720405000018,69
314720405000034,69
314930910000026,69
314930917000037,69
314950705000002,138
314970505000016,69
314970505000022,69
314970505000026,69
314970505000038,138
314970505000067,69
314970505000069,276
314970505000072,414
315140405000008,69
315140405000010,69
315140405000014,69
315140405000020,69
315140405000049,69
315140405000067,69
315180005000005,69
315180005000045,69
315180005000099,69
315180005000227,69
315180005000261,69
315180005000265,138
315180005000280,138
315180005000296,69
315180005000309,69
315180005000368,138
315180005000439,69
315180005000524,69
315250105000162,69
315250105000177,69
315250105000194,207
315250105000217,69
315250105000272,69
315250105000373,69
315270905000004,69
315270905000013,138
315270905000014,138
315270905000026,69
315460605000035,69
315460610000071,69
315460610000148,69
315460610000150,138
315460610000235,69
315460610000238,138
315460610000265,69
315460610000292,69
315580105000016,69
315630405000008,69
315670010000004,138
315670010000055,69
315670010000077,69
315670010000161,69
315780705000019,69
315780705000113,69
315780705000138,69
315780710000004,69
315780710000015,69
